Station Name,Iso Code,Station ID,Date,Hour,Minute,Rain
Tubu (Okavango Delta),BW,67591,9/1/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/1/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/1/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/1/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/1/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/1/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/1/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/1/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/1/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/2/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/3/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/4/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/5/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/6/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/7/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/8/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/9/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/10/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/11/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/12/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/13/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/14/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/15/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/16/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/17/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,19,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,20,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,21,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,22,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,23,0,0
Tubu (Okavango Delta),BW,67591,9/18/2023,24,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,1,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,2,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,3,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,4,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,5,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,6,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,7,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,8,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,9,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,10,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,11,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,12,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,13,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,14,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,15,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,16,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,17,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,18,0,0
Tubu (Okavango Delta),BW,67591,9/19/2023,19,0,0
